Data	Single Staunton	Desert Gold	1972	Sinquefield 2014	Sinquefield 2017	Dubrovnik 3.0 Bud Rosewood
03/01/2021	88.79	92.8	159.99	278.39	278.39	279.99
10/01/2021	88.79	92.8	159.99	278.39	278.39	279.99
17/01/2021	88.79	92.8	159.99	278.39	278.39	279.99
24/01/2021	88.79	92.8	159.99	278.39	278.39	279.99
31/01/2021	88.79	92.8	159.99	278.39	278.39	279.99
07/02/2021	88.79	92.8	159.99	278.39	278.39	279.99
14/02/2021	88.79	92.8	159.99	278.39	278.39	279.99
21/02/2021	88.79	92.8	159.99	278.39	278.39	279.99
28/02/2021	88.79	92.8	159.99	278.39	278.39	279.99
07/03/2021	88.79	92.8	159.99	278.39	278.39	279.99
14/03/2021	0	0	0	0	0	0
21/03/2021	0	0	0	0	0	0
28/03/2021	0	0	0	0	0	0
04/04/2021	0	0	0	0	0	0
11/04/2021	0	0	0	0	0	0
18/04/2021	0	0	0	0	0	0
25/04/2021	0	0	0	0	0	0
02/05/2021	0	0	0	0	0	0
09/05/2021	0	0	0	0	0	0
16/05/2021	0	0	0	0	0	0
23/05/2021	0	0	0	0	0	0
30/05/2021	0	0	0	0	0	0
06/06/2021	0	0	0	0	0	0
13/06/2021	0	0	0	0	0	0
20/06/2021	0	0	0	0	0	0
27/06/2021	0	0	0	0	0	0
04/07/2021	0	0	0	0	0	0
11/07/2021	0	0	0	0	0	0
18/07/2021	0	0	0	0	0	0
25/07/2021	0	0	0	0	0	0
01/08/2021	0	0	0	0	0	0
08/08/2021	0	0	0	0	0	0
15/08/2021	0	0	0	0	0	0
22/08/2021	0	0	0	0	0	0
29/08/2021	0	0	0	0	0	0
05/09/2021	0	0	0	0	0	0
12/09/2021	0	0	0	0	0	0
19/09/2021	0	0	0	0	0	0
26/09/2021	0	0	0	0	0	0
03/10/2021	0	0	0	0	0	0
10/10/2021	0	0	0	0	0	0
17/10/2021	0	0	0	0	0	0
24/10/2021	0	0	0	0	0	0
31/10/2021	0	0	0	0	0	0
07/11/2021	0	0	0	0	0	0
14/11/2021	0	0	0	0	0	0
21/11/2021	0	0	0	0	0	0
28/11/2021	0	0	0	0	0	0
05/12/2021	0	0	0	0	0	0
12/12/2021	0	0	0	0	0	0
19/12/2021	0	0	0	0	0	0
26/12/2021	0	0	0	0	0	0
02/01/22	0	0	0	0	0	0
