Data	Valor do desconto
03/01/2021	0.25
10/01/2021	0.25
17/01/2021	0.25
24/01/2021	0.25
31/01/2021	0.25
07/02/2021	0.25
14/02/2021	0.25
21/02/2021	0.25
28/02/2021	0.25
07/03/2021	0.25
14/03/2021	0
21/03/2021	0
28/03/2021	0
04/04/2021	0
11/04/2021	0
18/04/2021	0
25/04/2021	0
02/05/2021	0
09/05/2021	0
16/05/2021	0
23/05/2021	0
30/05/2021	0
06/06/2021	0
13/06/2021	0
20/06/2021	0
27/06/2021	0
04/07/2021	0
11/07/2021	0
18/07/2021	0
25/07/2021	0
01/08/2021	0
08/08/2021	0
15/08/2021	0
22/08/2021	0
29/08/2021	0
05/09/2021	0
12/09/2021	0
19/09/2021	0
26/09/2021	0
03/10/2021	0
10/10/2021	0
17/10/2021	0
24/10/2021	0
31/10/2021	0
07/11/2021	0
14/11/2021	0
21/11/2021	0
28/11/2021	0
05/12/2021	0
12/12/2021	0
19/12/2021	0
26/12/2021	0
02/01/2021	0
