Date,Open,High,Low,Close,Adj Close,Volume
2019-07-18,5.062000,5.123000,5.045000,5.060000,4.247978,3934000
2019-07-19,5.070000,5.086000,4.903000,4.948000,4.153951,7565000
2019-07-22,4.949000,4.967000,4.855000,4.895000,4.109457,7255000
2019-07-23,4.897000,4.994000,4.874000,4.960000,4.164026,8973000
2019-07-24,4.992000,4.992000,4.916000,4.916000,4.127087,6094000
2019-07-25,4.911000,4.946000,4.825000,4.872000,4.090148,6311000
2019-07-26,4.896000,4.896000,4.726000,4.772000,4.006196,7333000
2019-07-29,4.773000,4.795000,4.671000,4.717000,3.960022,7575000
2019-07-30,4.717000,4.856000,4.705000,4.845000,4.067481,6525000
2019-07-31,4.879000,4.950000,4.826000,4.915000,4.126247,9856000
2019-08-01,4.956000,5.072000,4.916000,5.000000,4.197607,7490000
2019-08-02,5.019000,5.019000,4.836000,4.911000,4.122889,7567000
2019-08-05,4.880000,4.880000,4.755000,4.780000,4.012912,5133000
2019-08-06,4.837000,4.945000,4.784000,4.945000,4.151433,3396000
2019-08-07,4.940000,5.033000,4.855000,5.033000,4.225310,4499000
2019-08-08,5.056000,5.171000,5.022000,5.103000,4.284078,6701000
2019-08-09,5.110000,5.209000,5.108000,5.209000,4.373067,4408000
2019-08-12,5.196000,5.196000,5.068000,5.100000,4.281559,4635000
2019-08-13,5.101000,5.176000,5.051000,5.176000,4.345363,4099000
2019-08-14,5.100000,5.140000,4.950000,4.950000,4.155631,6341000
2019-08-15,4.996000,5.080000,4.837000,4.897000,4.111136,7492000
2019-08-16,4.926000,5.135000,4.925000,5.135000,4.310942,6439000
2019-08-19,5.160000,5.342000,5.154000,5.260000,4.415883,10199000
2019-08-20,5.299000,5.305000,5.116000,5.248000,4.405808,8598000
2019-08-21,5.260000,5.320000,5.173000,5.192000,4.358795,9823000
2019-08-22,5.196000,5.237000,5.113000,5.161000,4.332770,4265000
2019-08-23,5.100000,5.131000,4.950000,4.950000,4.155631,5564000
2019-08-26,5.041000,5.129000,4.902000,4.902000,4.115334,8638000
2019-08-27,4.959000,5.003000,4.822000,4.845000,4.067481,17108000
2019-08-28,4.850000,4.950000,4.778000,4.931000,4.139680,15990000
2019-08-29,4.970000,5.100000,4.920000,5.030000,4.222792,11237000
2019-08-30,5.091000,5.300000,5.072000,5.210000,4.373906,26379000
2019-09-02,5.290000,5.450000,5.221000,5.416000,4.546847,10444000
2019-09-03,5.413000,5.419000,5.277000,5.281000,4.433512,6313000
2019-09-04,5.359000,5.359000,5.211000,5.250000,4.407487,8116000
2019-09-05,5.287000,5.347000,5.222000,5.222000,4.383981,5274000
2019-09-06,5.275000,5.275000,5.134000,5.167000,4.337807,7740000
