Date,Open,High,Low,Close,Adj Close,Volume
2021-01-06,72.470001,72.849998,69.500000,69.750000,69.750000,559646
2021-01-07,70.500000,72.839996,70.139999,72.160004,72.160004,414959
2021-01-08,72.900002,77.510002,71.610001,77.500000,77.500000,378614
2021-01-11,77.489998,82.260002,76.639999,81.099998,81.099998,436613
2021-01-12,82.040001,83.629997,80.099998,80.400002,80.400002,403461
2021-01-13,80.650002,81.500000,78.699997,79.739998,79.739998,222935
2021-01-14,80.000000,82.400002,79.900002,80.160004,80.160004,323341
2021-01-15,80.500000,83.050003,80.080002,81.970001,81.970001,309975
2021-01-18,82.519997,83.629997,82.099998,83.529999,83.529999,128656
2021-01-19,83.879997,85.849998,82.449997,85.680000,85.680000,349285
2021-01-20,86.699997,88.169998,85.559998,87.650002,87.650002,477887
2021-01-21,88.199997,92.440002,85.400002,87.000000,87.000000,421425
2021-01-22,87.000000,89.940002,86.500000,89.900002,89.900002,672883
2021-01-26,89.900002,89.980003,79.500000,80.660004,80.660004,1312692
2021-01-27,80.650002,82.489998,76.550003,77.919998,77.919998,871190
2021-01-28,79.540001,83.800003,78.050003,83.699997,83.699997,590853
2021-01-29,82.919998,84.099998,79.800003,80.900002,80.900002,409563
2021-02-01,82.199997,86.599998,81.500000,85.199997,85.199997,676402
2021-02-02,85.370003,86.900002,83.199997,85.000000,85.000000,405448
2021-02-03,85.500000,86.000000,83.470001,83.800003,83.800003,210359
2021-02-04,83.849998,86.410004,83.849998,86.389999,86.389999,238747
2021-02-05,86.389999,86.500000,84.790001,86.400002,86.400002,154984
2021-02-08,86.519997,88.000000,82.900002,85.419998,85.419998,480643
2021-02-09,85.519997,87.199997,83.699997,84.349998,84.349998,304212
2021-02-10,84.830002,86.800003,84.059998,85.750000,85.750000,293060
2021-02-11,86.000000,87.879997,85.750000,87.250000,87.250000,483296
2021-02-12,87.800003,87.870003,84.989998,87.150002,87.150002,180841
2021-02-17,null,null,null,null,null,null
2021-02-18,85.339996,85.889999,83.500000,85.750000,85.750000,193523
2021-02-19,85.699997,87.589996,84.370003,85.949997,85.949997,364542
2021-02-22,85.959999,86.489998,81.120003,81.120003,81.120003,497144
2021-02-23,80.099998,80.730003,75.809998,80.000000,80.000000,597980
2021-02-24,80.120003,82.000000,76.919998,77.449997,77.449997,647975
2021-02-25,77.449997,78.489998,73.500000,74.279999,74.279999,604135
2021-02-26,74.099998,76.989998,73.120003,76.459999,76.459999,389368
2021-03-01,79.099998,80.669998,76.449997,79.949997,79.949997,563059
2021-03-02,79.000000,81.180000,76.500000,77.699997,77.699997,931772
2021-03-03,78.150002,78.900002,71.010002,71.750000,71.750000,930867
2021-03-04,72.500000,73.610001,66.750000,68.900002,68.900002,1356903
2021-03-05,69.400002,70.410004,64.190002,69.949997,69.949997,1784130
2021-03-08,69.000000,70.889999,65.900002,66.599998,66.599998,1020441
2021-03-09,69.690002,72.000000,68.550003,70.699997,70.699997,997597
2021-03-10,70.900002,73.099998,67.500000,67.849998,67.849998,978514
2021-03-11,69.120003,73.400002,69.120003,72.699997,72.699997,864956
2021-03-12,71.309998,72.250000,69.849998,72.000000,72.000000,329366
2021-03-15,72.000000,74.250000,71.800003,74.250000,74.250000,304859
2021-03-16,74.500000,75.480003,71.720001,72.849998,72.849998,316751
2021-03-17,72.250000,72.680000,70.059998,71.500000,71.500000,699573
2021-03-18,69.989998,70.269997,66.500000,66.849998,66.849998,1305525
2021-03-19,67.080002,67.309998,65.510002,66.300003,66.300003,633810
2021-03-22,67.099998,68.320000,67.000000,67.849998,67.849998,400610
2021-03-23,67.599998,68.610001,66.330002,66.900002,66.900002,205054
2021-03-24,67.300003,67.440002,64.610001,65.199997,65.199997,791706
