Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,44.240002,44.730000,44.110001,44.709999,44.709999,2520000
2020-01-03,44.150002,44.730000,43.799999,44.200001,44.200001,2033800
2020-01-06,44.150002,44.349998,43.130001,43.820000,43.820000,2304700
2020-01-07,44.000000,44.590000,43.459999,44.400002,44.400002,2510700
2020-01-08,44.389999,44.520000,43.680000,44.340000,44.340000,2183900
2020-01-09,44.549999,44.730000,43.250000,43.389999,43.389999,2505300
2020-01-10,43.560001,43.700001,41.700001,42.040001,42.040001,2947400
2020-01-13,42.150002,42.910000,41.509998,41.599998,41.599998,3094800
2020-01-14,41.770000,42.540001,41.130001,42.500000,42.500000,3045900
2020-01-15,42.400002,42.400002,41.389999,41.389999,41.389999,2875600
2020-01-16,41.580002,41.730000,41.070000,41.070000,41.070000,2568100
2020-01-17,41.250000,41.820000,40.830002,41.639999,41.639999,2159500
2020-01-20,41.700001,42.060001,40.810001,41.000000,41.000000,2800200
2020-01-21,41.009998,41.160000,39.110001,39.330002,39.330002,4374900
2020-01-22,39.349998,40.330002,38.840000,39.740002,39.740002,3856400
2020-01-23,39.500000,40.680000,38.980000,40.410000,40.410000,2736200
2020-01-24,40.599998,40.930000,39.119999,39.540001,39.540001,2857400
2020-01-27,38.750000,38.849998,37.560001,37.820000,37.820000,3512200
2020-01-28,38.000000,38.840000,37.889999,38.410000,38.410000,2530700
2020-01-29,38.650002,38.750000,37.009998,37.009998,37.009998,2465000
2020-01-30,36.360001,36.630001,35.040001,36.230000,36.230000,3879800
2020-01-31,36.130001,36.500000,35.060001,36.500000,36.500000,3039300
2020-02-03,36.549999,37.450001,36.549999,36.660000,36.660000,2280500
2020-02-04,37.310001,38.009998,37.200001,37.200001,37.200001,2345100
2020-02-05,37.599998,38.110001,36.830002,37.000000,37.000000,1925100
2020-02-06,37.200001,37.549999,36.130001,36.520000,36.520000,1931100
2020-02-07,36.520000,36.529999,34.799999,35.000000,35.000000,2903300
2020-02-10,35.000000,35.139999,32.810001,32.889999,32.889999,5022400
2020-02-11,33.119999,34.639999,32.400002,34.599998,34.599998,3599400
2020-02-12,34.900002,34.980000,33.509998,33.740002,33.740002,3116400
2020-02-13,33.000000,34.189999,32.849998,33.880001,33.880001,2239700
2020-02-14,33.900002,34.139999,33.090000,33.099998,33.099998,1606700
2020-02-17,33.320000,33.529999,32.900002,33.340000,33.340000,2171400
2020-02-18,31.050348,31.219713,30.570478,30.589296,30.589296,3322919
2020-02-19,30.702208,31.022121,30.278793,30.673981,30.673981,2794074
2020-02-20,30.721025,30.918619,30.137655,30.175293,30.175293,2406156
2020-02-21,29.827152,30.071793,28.886232,29.055597,29.055597,3842942
2020-02-26,null,null,null,null,null,null
2020-02-27,24.868505,25.894108,24.463911,24.661505,24.661505,6112424
2020-02-28,24.351000,24.934370,23.522991,24.209862,24.209862,6236345
2020-03-02,22.158657,22.459751,20.512049,21.641151,21.641151,17584923
2020-03-03,21.293011,22.996077,21.123646,21.180101,21.180101,14341500
2020-03-04,21.829334,21.876381,20.060408,20.869596,20.869596,8513160
2020-03-05,20.606140,20.606140,18.423206,18.818394,18.818394,7893553
2020-03-06,18.818394,23.156033,18.536118,21.528240,21.528240,23504344
2020-03-09,19.194759,20.032179,18.319704,18.347933,18.347933,7265232
2020-03-10,20.436773,21.217737,19.222988,20.474411,20.474411,6701528
2020-03-11,19.382944,20.502640,17.030645,18.103294,18.103294,8073484
2020-03-12,14.113794,14.113794,11.441583,12.834144,12.834144,6762213
2020-03-13,15.007668,15.045305,12.203727,14.443116,14.443116,12120588
2020-03-16,11.545084,11.799132,9.710290,9.785564,9.785564,10138166
2020-03-17,10.256024,10.256024,8.807007,9.362150,9.362150,12108260
