Ativo	Data da Aplicação	Quantidade	Preço de Compra
AZUL4	18/07/2019	400	49,68
CPLE6	18/07/2019	2000	5,095
CPLE6F	18/07/2019	620	5,095
SUZB3	18/07/2019	600	34,87
SUZB3	06/01/2021	100	59,69
AZUL4F	06/01/2021	80	37,46
WEGE3F	06/01/2021	64	40,605
WEGE3F	06/01/2021	50	41
MELI34	06/01/2021	18	71,7
CPLE6	30/08/2021	300	6,64
ELET3	30/08/2021	100	38,01
EMBR3	30/08/2021	600	22,99
GGBR4F	30/08/2021	70	28,76
GOAU4F	30/08/2021	50	13,04
BPAC11	30/08/2021	100	28,96
TOTS3F	30/08/2021	50	40
BIDI11F	30/08/2021	23	70,6
GOAU4	30/08/2021	100	13,02
BIDI11F	30/08/2021	27	70,58
BIDI11F	30/08/2021	5	70,59
MRFG3F	30/08/2021	25	20,98
PRIO3F	30/08/2021	30	19,39
AAPL34	30/08/2021	50	79,49
ENBR3F	30/08/2021	60	18,45
BRDT3F	30/08/2021	60	26,93
BRKM5	30/08/2021	200	62,39
HGTX3F	30/08/2021	70	38,07
PETR4F	30/08/2021	60	28,45
BRAP4F	30/08/2021	80	63,86
SANB11	30/08/2021	500	41,35
TOTS3	30/08/2021	200	40,01
BRFS3	30/08/2021	300	23,47
EMBR3F	30/08/2021	7	22,95
PRIO3	30/08/2021	400	19,39
MRFG3	30/08/2021	300	20,97
SANB11F	30/08/2021	56	41,35
BIDI11	30/08/2021	200	70,65
GGBR4	30/08/2021	100	28,77
CMIG4	30/08/2021	500	13,16
RDOR3	30/08/2021	300	73,95
CRFB3	30/08/2021	1000	18,62
SANB11F	30/08/2021	50	41,19
