Ativo	Data da Aplicação	Quantidade	Preço de Compra
ITSA4	12/07/2019	300	13,06
ITUB4	13/01/2020	900	35,27
ITUB4	24/07/2019	500	37,6
SANB11	19/08/2020	100	29,13
WEGE3	12/08/2020	180	33,715
WEGE3	08/03/2021	20	35,93
BTLG11	23/07/2021	3	112,15
RECR11	23/07/2021	3	105,12
MCCI11	23/07/2021	3	103,26
PVBI11	23/07/2021	3	96,54
RBRP11	23/07/2021	3	82,92
HGRU11	23/07/2021	3	120,78
XPLG11	23/07/0221	3	112,13
MALL11	23/07/2021	3	99,6
ALZR11	23/07/2021	3	124,2
VGIP11	23/07/2021	3	102,19
VILG11	23/07/2021	3	117,72
XPML11	23/07/2021	3	102,89
VISC11	23/07/2021	3	111,71
HGLG11	23/07/2021	3	169,15
VRTA11	23/07/2021	3	112,25
IRDM11	23/07/2021	3	117,69
BTLG11	19/08/2021	30	108,71
RECR11	19/08/2021	32	102,68
MCCI11	19/08/2021	32	101,4
XPLG11	19/08/2021	32	101,75
RBRP11	19/08/2021	44	74,78
PVBI11	19/08/2021	35	93,15
HGRU11	19/08/2021	28	115,4
HGLG11	19/08/2021	20	163,79
MALL11	19/08/2021	36	91,69
VGIP11	19/08/2021	33	99,78
ALZR11	19/08/2021	28	114,6
VRTA11	19/08/2021	30	107,5
IRDM11	19/08/2021	29	111,4
VILG11	19/08/2021	30	107,89
VISC11	19/08/2021	32	102,2
VISC11	19/08/2021	32	102,24
BTLG11	16/09/2021	11	105,78
RECR11	16/09/2021	11	104,8
MCCI11	16/09/2021	11	100,94
PVBI11	16/09/2021	13	89,22
RBRP11	16/09/2021	16	73,73
HGRU11	16/09/2021	10	115,6
XPLG11	16/09/2021	12	98,4
HGLG11	16/09/2021	7	162,62
MALL11	16/09/2021	12	95,95
VGIP11	16/09/2021	11	100,2
ALZR11	16/09/2021	10	115,85
VRTA11	16/09/2021	11	108,31
VILG11	16/09/2021	11	108,18
VISC11	16/09/2021	11	102,12
XPML11	16/09/2021	11	101,79
IRDM11	16/09/2021	10	114,52
